"Kode Produk","Nama Produk",Variasi,Diharapkan,Terhitung
00000,"Ayam Karkas 0.7 kg",,0.0000,
011010001,"Paha Atas 1.0 Kg",,10.0000,
011010002,"Drum stick 1 kg",,0.0000,
011010003,"Chicken wing 1 kg",,20.0000,
011010004,"Boneless Paha 1.0 Kg Premium",,10.0000,
011010006,"Bakso Java 500gr",,20.0000,
011010007,"Chicken teriyaki 500g",,44.0000,
011010008,"Naget ayam fancy 250 gr",,20.0000,
011010009,"Bart's french fries 1 kg",,0.0000,
011010014,"Naget ayam hati 250 g",,39.0000,
011010015,"Naget ayam fancy 500 g ",,32.0000,
011010018,"Lidah Slice 500 gr (AUS)",,0.0000,
011010019,"Rib Eye Steak 200 gr (AUS)",,20.0000,
011010020,"Striploin Steak 200 gr (AUS)",,20.0000,
011010021,"Yakiniku / Teriyaki Slice Less Fat 500 gr (AUS)",,20.0000,
011010022,"Oxtail Cut 500 gr (AUS)",,40.0000,
011010023,"All Variant Super Less Fat 500 gr (AUS)",,19.0000,
011010024,"Iga Galbi 500 gr (AUS)",,5.0000,
011010025,"Iga Sop Super (Rib Plate) 500 gr (AUS)",,38.0000,
011010026,"Sukiyaki Slice 500 gr (AUS)",,38.0000,
011010027,"Daging Rendang 500 gr (AUS)",,20.0000,
011010028,"Daging Giling 500 gr (AUS)",,9.0000,
011010029,"Bratwurst sausage mini ori 500 g",,20.0000,
011010031,"Bratwurst sausage mini keju 500 g",,12.0000,
8896360571210,"Pulosari 5 KG",,25.0000,
8986360571294,"Sumur Tujuh",,22.0000,
8991188943543,"Sasa santan kelapa 200 ml",,21.0000,
8997221220466,"Nuget Fancy 250gr",,60.0000,
8997221221524,"JAVA BEEF PATTIES 500GR",,36.0000,
8997221222132,"MINIPAO COKELAT 480GR",,18.0000,
8997221223849,"MINIPAO KEJU 480GR",,8.0000,
8997221223856,"MINIPAO STROBERI 480GR",,12.0000,
8997221224242,"MINIPAO AYAM 480GR",,23.0000,
8997221224259,"MINIPAO SAPI 480GR",,11.0000,
8997221224877,"Spicy chicken 500g ",,13.0000,
8997221225164,"Sosis Royal Mini",,11.0000,
8997221227595,"ROYAL JAVA BAKSO SAPI 450GR",,39.0000,
AP1,"W99 Ayam  Parting 10 Ukuran 1.0 Kg",,0.0000,
AP1P,"W99 Ayam  Parting 10 Ukuran 1.0 Kg Premium",,0.0000,
BD1,"W99 Boneless Dada 1.0 Kg",,10.0000,
BD1P,"Boneless breast 1 kg",,0.0000,
BP1,"W99 Boneless Paha 1.0 Kg",,0.0000,
KL1,"W99 Kulit 1.0 Kg",,0.0000,
KL1P,"W99 Kulit 1.0 Kg Premium",,9.0000,
OLN010,"Striploin Steak 400 gr (AUS)",,0.0000,
OLN011,"Iga Bakar Back Ribs 500 gr (AUS)",,0.0000,
OLN012,"Iga Bakar Back Ribs 1 kg (AUS)",,0.0000,
OLN015,"All Variant Tumis / Sop 500 gr (AUS)",,0.0000,
OLN016,"All Variant Tumis / Sop 1 kg (AUS)",,0.0000,
OLN0290,"Tenderloin Cube 300 gr",,0.0000,
OLN032,"Oxtail Super 500 gr",,0.0000,
PA1P,"W99 Paha Atas 1.0 Kg Premium",,0.0000,
PB1,"W99 Paha Bawah 1.0 Kg",,7.0000,
PB1P,"W99 Paha Bawah 1.0 Kg Premium",,0.0000,
SU1,"W99 Sayap Utuh 1.0 Kg",,0.0000,
SU1P,"W99 Sayap Utuh 1.0 Kg Premium",,9.0000,
TLR001,"Telur Ayam",,55.5250,
WK004,"W99 Karkas 0.4 Kg",,0.0000,
WK005,"W99 Karkas 0.5 Kg",,0.0000,
WK006,"W99 Karkas 0.6 Kg",,0.0000,
WK007,"W99 Karkas 0.7 Kg",,0.0000,
WK008,"W99 Karkas 0.8 Kg",,0.0000,
WK009,"W99 Karkas 0.9 Kg",,0.0000,
WK010,"W99 Karkas 1.0 Kg",,0.0000,
WK011,"W99 Karkas 1.1 Kg",,0.0000,
WK012,"W99 Karkas 1.2 Kg",,0.0000,
WK013,"W99 Karkas 1.3 Kg",,0.0000,
WM027,"Bone In Sirloin Steak 250 gr (AUS)",,0.0000,
WMS002,"Daging Rendang 1 kg (AUS)",,0.0000,
WMS004,"Sukiyaki Slice 1 kg (AUS)",,0.0000,
WMS006,"Yakiniku / Teriyaki Slice Less Fat 1 kg (AUS)",,0.0000,
WMS011,"Tulang Sop Neckbone 500 gr (AUS)",,0.0000,
WMS012,"Tulang Sop Neckbone 1 kg (AUS)",,0.0000,
WMS016,"All Variant Super Less Fat 1kg (AUS)",,0.0000,
WMS018,"Rib Eye Steak 400 gr (AUS)",,0.0000,
WMS022,"Oxtail Cut 1 kg (AUS)",,0.0000,
WMS024,"Daging Giling 1 kg (AUS)",,0.0000,
WMS026,"Iga Sop Super (Rib Plate) 1 kg",,0.0000,
WMS029,"Lidah Slice 250 gr (AUS)",,20.0000,
